,customerID,Gender,Senior Citizen,Marital Status,Dependents,tenure in months,Priority Account,Credit Cards,Loan Account,Netbanking,Debit Card,MobileApp,TechSupport Availed,Zero Balance Account,FDs,Interest Deposited,Paperless Banking,Monthly Average Balance (USD),Yearly Average Balance (USD),Churn,Customer_Feedback,Category,Chatbot Response
10,2320-SLKMB,Female,0,No,No,26.0,No,No,general loan,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,44.45,1183.8,No,How do I check my Savings Account balance online?,,"Dear Customer,

Thank you for reaching out. To address your query about checking your Savings Account balance online, I am forwarding your concern to the relevant team. They will assist you promptly.

Best regards,
[Your Name]"
11,4376-KFVRS,Male,0,Yes,Yes,72.0,Yes,Yes,top up loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,114.05,8468.2,No,How do I get a Demand Draft from my Current Account?,,"Thank you for reaching out! We appreciate your long-standing relationship with us. To assist you better with obtaining a Demand Draft from your Current Account, I've forwarded your request to our relevant team. 

They will get in touch with you shortly. If you have any specific details or questions, please feel free to share them.

Best regards."
12,4018-PPNDW,Female,0,Yes,Yes,61.0,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,24.1,1551.6,No,The Current Account online services are very reliable.,,"Dear Customer,

Thank you for your feedback and your loyal 61 months with us. I'm sorry to hear about the issues you're experiencing with our Current Account online services. I'll forward your concern to the relevant team for further investigation.

Could you please provide more details about the specific issues you're encountering?

Best regards,
[Your Name]"
13,8405-IGQFX,Female,0,No,No,63.0,Yes,No,top up loan,No,No,Yes,Yes,Yes,No,One year,Yes,90.05,5817,No,The Current Account balance alerts are very helpful.,,"Thank you for your feedback on our Current Account balance alerts. We'll forward your comments to the relevant team to ensure continuous improvement. If you have any specific concerns or suggestions, please let us know!"
14,5046-NUHWD,Female,1,Yes,No,29.0,No,No,general loan,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,45.0,1228.65,No,The online banking security features are excellent.,,"Thank you for your feedback on our online banking security features. We appreciate your input. I'll forward your comments to the relevant team for further attention. If you have any specific concerns or suggestions, please let us know!"
15,2252-NKNSI,Male,0,No,Yes,52.0,Yes,Yes,general loan,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,85.15,4461.85,No,I had issues with unauthorized charges on my Credit Card.,,"Thank you for reaching out and bringing this to our attention. We understand your concern about the unauthorized charges on your Credit Card. We have forwarded your issue to the relevant team. They will investigate promptly.

In the meantime, could you please confirm if you've identified any specific transactions and the dates they occurred? This will help expedite the process. 

Thank you for being a valued customer."
16,7989-CHGTL,Male,0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,19.6,19.6,Yes,The loan documentation process is very cumbersome.,,"Thank you for your feedback regarding the loan documentation process. We apologize for the inconvenience. I will forward this to our relevant team to address your concerns. 

If you have any specific issues or suggestions, please share them with us. 

Thank you for your patience.

Best regards,
[Your Name]"
17,8769-KKTPH,Female,0,Yes,Yes,63.0,Yes,Yes,top up loan,Yes,No,No,No,Yes,Yes,One year,Yes,99.65,6311.2,No,I am satisfied with the low minimum balance requirement for my Savings Account.,Savings Account,"Thank you for sharing your feedback. I will forward your comments to the relevant team. If you have specific concerns or require further assistance, please let us know."
18,9763-GRSKD,Male,0,Yes,Yes,13.0,Yes,No,general loan,Yes,No,No,No,No,No,Month-to-month,Yes,49.95,587.45,No,I am satisfied with the security features of online banking.,Online Banking,"Thank you for your feedback regarding our online banking security features. We take your concerns seriously. I'll forward this to our relevant team for further review. If there are specific issues or additional details you'd like to share, please let us know."
19,7752-XUSCI,Female,0,No,No,60.0,Yes,Yes,top up loan,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,105.9,6396.45,Yes,The loan disbursement process is very slow.,,"Thank you for bringing this to our attention. We apologize for any inconvenience. We're forwarding your concern to our Loans team for further assistance. 

If you could share more details about the steps you’ve taken so far or any error messages received, it would be helpful. Thank you for your patience."
20,2753-JMMCV,Male,0,No,No,65.0,Yes,Yes,general loan,No,Yes,Yes,Yes,No,Yes,Two year,Yes,74.2,4805.65,No,The Current Account statements are very clear and detailed.,,"Thank you for your feedback regarding the Current Account statements. I'll forward this to the relevant team for further review. If you have any specific issues or need further assistance, please let us know."
21,6122-EFVKN,Male,0,No,Yes,24.0,No,No,general loan,Yes,No,No,Yes,No,No,Two year,No,35.75,830.8,No,The online banking transactions are very secure.,,"Thank you for your feedback regarding the security of online banking transactions. We take such concerns very seriously. I will forward this to the relevant team for further review. Should you have any specific details or examples, please let us know so we can better assist you."
22,7277-KAMWT,Male,0,No,No,13.0,Yes,No,No,No,No,No,No,No,No,Two year,No,20.0,268.45,No,The branch does not have enough staff.,,"Thank you for your feedback and for being a valued customer for over a year. We're sorry to hear about the staffing issue at the branch. I’ll forward this concern to the relevant team right away. If you have any specific instances or times when this was an issue, please let us know."
23,4482-EWFMI,Female,0,No,No,2.0,Yes,No,top up loan,No,No,No,No,No,No,Month-to-month,Yes,69.7,135.2,No,The online banking customer support is very helpful.,,"Thank you for your feedback! We'll forward your comments to the relevant team. If there are specific issues you faced, please let us know."
24,0822-GAVAP,Female,0,No,No,2.0,No,No,general loan,No,No,No,No,No,Yes,Month-to-month,Yes,34.7,62.25,Yes,The loan processing time is too long.,,"Dear Customer,

Thank you for bringing this to our attention. We understand your concerns about the loan processing time. I've forwarded your feedback to our relevant team for further review.

If you have any more details to share, please let us know.

Best regards,
[Your Name]"
25,2731-GJRDG,Female,0,No,No,32.0,Yes,Yes,top up loan,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,109.55,3608,No,The bank's customer service is very responsive.,,"Thank you for your feedback on our customer service. We will forward it to the relevant team for review. If you have any specific issues or details you wish to share, please let us know so we can assist you better."
26,4846-WHAFZ,Female,1,Yes,No,37.0,Yes,Yes,top up loan,No,No,No,No,No,No,Month-to-month,Yes,76.5,2868.15,Yes,The ATM is often out of service.,,"Thank you for bringing this to our attention and for being a valued customer for over 3 years! I will forward your concern about the ATM being out of service to the relevant team right away. If there are any specific details or locations you'd like to share, please let us know."
27,1010-DIAUQ,Male,0,No,No,5.0,Yes,No,top up loan,No,No,Yes,No,Yes,Yes,Month-to-month,No,96.5,492.55,Yes,The Savings Account interest rates are too low.,,"Thank you for your feedback about our Savings Account interest rates. We appreciate your input and will forward your concern to the relevant team for further review.

If you have any other suggestions or details to share, please let us know!

Best regards,
[Your Name]"
28,0505-SPOOW,Female,0,Yes,No,70.0,Yes,No,No,No,No,No,No,No,No,Two year,No,19.8,1397.65,No,My Credit Card is not generating a statement.,,Thank you for your patience and for being a loyal customer for over 70 months. We're sorry to hear about your issue with the credit card statement. I've forwarded this to our Credit Card support team for further investigation. Could you please confirm if there were any recent changes to your account details or preferences? This will help us resolve the issue more quickly.
29,6851-WEFYX,Male,1,Yes,No,35.0,Yes,Yes,top up loan,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,100.8,3437.5,No,The Credit Card travel benefits are very good.,,"Thank you for your feedback regarding the travel benefits of your Credit Card. We appreciate your input and will forward it to the relevant team for further review. If you have any specific concerns or suggestions, please let us know!"
30,3115-CZMZD,Male,0,No,Yes,0.0,Yes,No,No,No,No,No,No,No,No,Two year,No,20.25, ,No,The Current Account customer service is excellent.,,"Thank you for your feedback about our Current Account service. We'll forward this to the relevant team. If you have specific concerns or need further assistance, please let us know!"
31,1450-GALXR,Female,0,No,No,10.0,Yes,Yes,top up loan,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,98.5,1058.25,Yes,The loan application process is very complicated.,,"Thank you for sharing your feedback about the loan application process. We appreciate your 10 months with us. I'll forward your concern to the relevant team for further review. If you have any specific issues or need further assistance, please let us know!"
32,7134-MJPDY,Female,1,No,No,66.0,Yes,Yes,top up loan,No,No,Yes,Yes,Yes,Yes,One year,Yes,102.85,6976.75,No,How do I activate my new Debit Card?,,"Thank you for reaching out! I'll forward your query to the relevant team. In the meantime, could you please confirm if you are using our mobile app to activate your new Debit Card?"
33,5167-ZFFMM,Male,0,No,No,1.0,Yes,Yes,top up loan,No,Yes,No,No,No,Yes,Month-to-month,Yes,90.85,90.85,Yes,The branch has a very long wait time.,,"I apologize for the long wait time at our branch, and I understand how frustrating this can be. I'll forward your feedback to the relevant team to address the issue. Could you please provide the specific branch location and the time of your visit for better assistance? Thank you for your patience."
34,6786-OBWQR,Female,0,Yes,Yes,5.0,Yes,No,top up loan,No,No,No,No,Yes,No,Month-to-month,Yes,80.85,356.1,No,The customer service for Savings Accounts is excellent.,,Thank you for your feedback! We'll forward your positive comments to the relevant team. Is there anything specific you'd like to share about your experience?
35,8865-TNMNX,Male,0,Yes,Yes,10.0,Yes,No,general loan,No,Yes,No,No,,No,One year,No,49.55,475.7,No,I am satisfied with the easy online account opening for my Savings Account.,Savings Account,"Thank you for your feedback on the online account opening process for your Savings Account. We're glad to hear it was easy. I'll forward your comments to the relevant team for review. If there's anything else you'd like to share or if you have any concerns, please let us know!"
36,2324-AALNO,Female,0,No,No,48.0,Yes,Yes,No,No,No,No,No,No,No,One year,No,24.55,1203.95,No,The daily withdrawal limit on my Debit Card is too low.,,"Thank you for sharing your concern with us. We understand how important it is to have a suitable withdrawal limit. We'll forward your feedback to the relevant team for review. To expedite this process, could you please provide your account details and the preferred withdrawal limit you desire?"
37,3957-SQXML,Female,0,Yes,Yes,34.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,24.95,894.3,No,I am satisfied with the easy fund transfer from my Current Account.,Current Account,"Thank you for your feedback! We appreciate your positive experience with our fund transfer service. We'll forward your comments to the relevant team for review. If you have any other concerns or need further assistance, please let us know."
38,0265-EDXBD,Male,1,Yes,No,32.0,Yes,Yes,top up loan,No,No,No,No,No,No,Month-to-month,Yes,74.9,2303.35,Yes,My Savings Account was closed without proper notification.,,"We apologize for any inconvenience caused by your Savings Account closure without proper notification. We understand your concern and will forward this issue to the relevant team for prompt resolution. To better assist you, could you please provide the date of account closure and any recent communications you may have received regarding this matter? Thank you for your patience."
39,1875-QIVME,Female,0,Yes,No,2.0,Yes,Yes,top up loan,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,104.4,242.8,Yes,The Debit Card PIN reset process is confusing.,,"Dear Customer,

Thank you for your feedback regarding the Debit Card PIN reset process. We're sorry to hear about the confusion you've experienced. We'll forward this to the relevant team for further review.

Best regards,
[Your Company]"
40,2692-AQCPF,Female,0,Yes,No,65.0,Yes,Yes,top up loan,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,108.05,7118.9,No,The Debit Card is not accepted at many places.,,"Dear Customer,

Thank you for bringing this to our attention. We will forward your concern about the Debit Card not being accepted to the relevant team for further investigation. 

If you have specific places where your card was declined, please let us know so we can assist more effectively.

Best regards,
[Your Name]"
41,4694-PHWFW,Female,0,No,Yes,8.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,19.95,170.9,No,The fixed deposit rates are not competitive.,,"Thank you for your feedback. We're sorry to hear you're not satisfied with our fixed deposit rates. I’ll forward your concern to the relevant team for review. If you have any specific requirements, please let us know!"
42,7319-VENRZ,Male,0,No,No,7.0,Yes,No,general loan,No,No,Yes,Yes,Yes,No,Month-to-month,No,64.3,445.95,No,The customer service for Savings Accounts is excellent.,,"Thank you for your feedback. We'll forward it to the relevant team. If you have any specific issues or suggestions, please let us know!"
43,8859-AXJZP,Male,0,Yes,Yes,39.0,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,23.8,903.8,No,The loan processing fee is too high.,,"Thank you for your feedback regarding the loan processing fee. We understand your concern and will forward this to our relevant team for further review. If you have any more details to share, please let us know!"
44,0447-BEMNG,Female,0,Yes,No,48.0,No,No,general loan,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,45.3,2145,Yes,The branch does not have enough seating.,,"Thank you for your feedback regarding the seating at our branch. We appreciate your patience and will forward this concern to the relevant team for further review.

If there are any specific details or times of visit that you'd like to share, please let us know.

Thank you for being a valued customer for the past 48 months!

Best regards,
[Your Name]"
45,5173-WXOQV,Male,0,Yes,No,2.0,Yes,No,general loan,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,64.2,143.65,No,The branch does not have enough staff.,,"Thank you for your feedback regarding the staffing at the branch. I'll forward this to our relevant team for further attention. If you have any more specific details you'd like to share, please let us know!"
46,2519-ERQOJ,Male,1,No,No,33.0,No,No,general loan,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,54.6,1803.7,No,"I lost my Debit Card, what should I do?",,"I'm sorry to hear about your lost debit card. Please allow me to forward this to the relevant team for immediate assistance. In the meantime, consider freezing your card through our mobile app for added security."
47,5533-RJFTJ,Male,0,No,No,49.0,No,No,general loan,No,No,Yes,No,No,No,Month-to-month,Yes,30.2,1453.1,No,My Debit Card often gets blocked without reason.,,"Dear Customer,

I'm sorry to hear about the issue with your Debit Card. I'll forward this to our relevant team to investigate further.

Thank you for your patience.

Best regards,
[Your Name]"
48,2521-NPUZR,Male,0,Yes,No,70.0,Yes,No,top up loan,Yes,Yes,Yes,Yes,No,Yes,Two year,No,101.0,7085.5,No,The online application process for Credit Cards is very easy.,,"Thank you for your feedback regarding the online application process for Credit Cards. We take every comment seriously and will forward your feedback to the relevant team for further review. If there’s anything specific you experienced, please let us know so we can assist you better."
49,5176-LMJXE,Female,0,No,No,47.0,Yes,No,No,No,No,No,No,No,No,Two year,Yes,20.55,945.7,No,The Current Account management is very convenient.,,Thank you for your feedback. I'll forward your comments to the relevant team to address your concerns about Current Account management. Is there any specific issue you'd like us to look into further?
50,6862-CQUMB,Male,0,No,No,37.0,Yes,No,top up loan,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,96.1,3646.8,No,The fixed deposit maturity process is very smooth.,,
51,5844-QVTAT,Female,0,Yes,Yes,33.0,Yes,No,general loan,Yes,Yes,Yes,No,No,No,One year,Yes,58.45,1955.4,No,How can I update my address in the bank records?,,
52,3865-YIOTT,Male,0,Yes,Yes,72.0,Yes,Yes,top up loan,Yes,No,Yes,No,Yes,Yes,One year,Yes,106.1,7848.5,No,The branch has a very long wait time.,,
53,9396-ZSFLL,Female,0,No,No,15.0,Yes,Yes,general loan,No,No,No,No,No,No,Month-to-month,No,48.85,631.4,No,Can I get a supplementary Credit Card for my family member?,,
54,0323-XWWTN,Male,0,No,Yes,3.0,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,26.4,121.25,No,The Current Account overdraft fees are exorbitant.,,
55,6467-CHFZW,Male,0,Yes,Yes,47.0,Yes,Yes,top up loan,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,99.35,4749.15,Yes,The ATM charges are too high.,,
56,0887-HJGAR,Male,0,No,No,1.0,Yes,No,general loan,No,No,No,No,No,No,Month-to-month,Yes,45.7,45.7,Yes,The branch does not have enough staff.,,
57,4929-XIHVW,Male,1,Yes,No,2.0,Yes,No,top up loan,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,95.5,181.65,No,I am satisfied with the high interest rates on my Savings Account.,Savings Account,
58,1820-TQVEV,Male,0,No,No,1.0,Yes,No,top up loan,No,No,No,No,No,No,Month-to-month,Yes,69.55,69.55,Yes,The Debit Card PIN reset process is very confusing.,,
59,4800-VHZKI,Female,0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,19.9,19.9,Yes,The branch does not have enough staff.,,
60,0123-CRBRT,Female,0,Yes,Yes,61.0,Yes,Yes,general loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,88.1,5526.75,No,The Current Account opening process was very easy.,,
61,8597-CWYHH,Male,0,No,No,43.0,Yes,Yes,top up loan,No,No,No,No,Yes,Yes,One year,No,94.35,3921.3,No,The Current Account online banking features are very convenient.,,
62,8587-XYZSF,Male,0,No,,67.0,Yes,No,general loan,No,No,No,Yes,No,No,Two year,No,50.55,3260.1,No,The fixed deposit maturity process is very efficient.,,
63,5067-XJQFU,Male,1,Yes,Yes,66.0,Yes,Yes,top up loan,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,108.45,7076.35,No,I am happy with the fixed deposit renewal process.,Fixed Deposit,
64,8975-SKGRX,Male,0,Yes,No,71.0,Yes,Yes,top up loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,116.1,8310.55,No,My Debit Card was not delivered on time.,,
65,9063-ZGTUY,Female,0,Yes,Yes,61.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,19.4,1182.55,Yes,The loan prepayment charges are too high.,,
66,3197-ARFOY,Female,1,No,No,19.0,Yes,No,top up loan,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,105.0,2007.25,No,The online banking interface is very intuitive.,,
67,6169-PPETC,Male,0,Yes,Yes,35.0,Yes,No,No,No,No,No,No,No,No,Two year,,20.5,759.35,No,,,
68,8404-VLQFB,Female,0,Yes,Yes,15.0,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,25.25,394.85,No,The process of opening a Current Account took too long.,,
69,9489-UTFKA,Male,1,Yes,No,8.0,Yes,No,general loan,Yes,No,No,No,Yes,No,Month-to-month,No,60.9,551.95,No,The branch does not have enough seating.,,
70,3009-JWMPU,Male,0,No,No,62.0,Yes,Yes,top up loan,No,No,Yes,No,Yes,Yes,One year,Yes,96.75,6125.4,Yes,The branch does not have enough seating.,,
71,9514-JDSKI,Male,1,Yes,No,1.0,No,No,general loan,No,Yes,No,No,Yes,No,Month-to-month,No,40.2,40.2,Yes,The minimum balance requirement for Current Accounts is too high.,,
72,9094-AZPHK,Female,0,No,No,15.0,Yes,Yes,top up loan,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,100.15,1415,No,My Debit Card is not working for contactless payments.,,
73,6235-VDHOM,Female,1,No,No,5.0,No,No,general loan,No,Yes,No,No,No,No,Month-to-month,No,28.45,131.05,Yes,The loan prepayment charges are too high.,,
74,4713-ZBURT,Male,0,No,Yes,45.0,Yes,Yes,top up loan,No,No,Yes,No,Yes,Yes,Two year,No,99.7,4634.35,No,The bank's fraud protection measures are inadequate.,,
75,2739-CACDQ,Female,1,No,No,17.0,Yes,Yes,top up loan,No,No,Yes,No,No,No,Month-to-month,Yes,82.65,1470.05,No,The online banking security features are excellent.,,
76,3887-PBQAO,Female,0,Yes,Yes,45.0,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,25.9,1216.6,No,The Savings Account mobile banking app is very convenient.,,
77,9227-LUNBG,Female,0,No,No,1.0,No,No,general loan,No,No,No,No,No,No,Month-to-month,No,24.6,24.6,Yes,The loan processing time is too long.,,
78,5020-ZSTTY,Female,1,No,No,54.0,Yes,Yes,general loan,Yes,Yes,No,Yes,Yes,Yes,One year,No,82.45,4350.1,Yes,The loan processing fees were not clearly communicated.,,
79,6007-TCTST,Female,0,Yes,Yes,72.0,Yes,Yes,top up loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,115.8,8476.5,No,My Current Account transactions are often delayed.,,
80,5839-SUYVZ,Male,0,No,No,16.0,Yes,No,top up loan,No,No,No,Yes,No,No,Month-to-month,Yes,74.55,1170.5,No,Can I apply for a loan online?,,
81,9571-EDEBV,Male,0,Yes,No,71.0,Yes,Yes,top up loan,No,No,Yes,No,Yes,Yes,One year,Yes,98.65,6962.85,No,The fixed deposit interest rates are very attractive.,,
82,1095-WGNGG,Female,0,Yes,No,61.0,Yes,Yes,top up loan,No,Yes,No,No,Yes,Yes,Two year,Yes,101.05,5971.25,No,The Current Account management is very convenient.,,
83,2207-NHRJK,Male,0,No,No,1.0,Yes,No,general loan,No,Yes,No,No,No,No,Month-to-month,No,50.8,50.8,Yes,The loan processing fee is too high.,,
84,6923-JHPMP,Female,0,No,No,2.0,Yes,No,top up loan,Yes,No,Yes,No,No,No,Month-to-month,Yes,80.45,137.1,No,The Savings Account services are very reliable.,,
85,1304-BCCFO,Male,0,Yes,No,9.0,Yes,No,general loan,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,70.05,564.4,No,How do I get a Savings Account statement by email?,,
86,4431-EDMIQ,Female,0,Yes,Yes,7.0,Yes,No,general loan,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,75.7,554.05,No,My Debit Card is not working internationally.,,
87,7654-YWJUF,Male,0,Yes,No,43.0,Yes,No,top up loan,Yes,No,Yes,Yes,No,No,One year,Yes,84.25,3539.25,No,The Savings Account opening process is very easy.,,
88,6158-HDPXZ,Male,0,No,No,1.0,No,No,general loan,No,No,No,No,No,No,Month-to-month,No,25.35,25.35,No,The Credit Card complimentary insurance is very good.,,
89,8896-RAZCR,Female,0,No,Yes,44.0,Yes,No,No,No,No,No,No,No,No,Two year,No,19.9,868.1,No,My Debit Card is not working at POS terminals.,,
90,4160-AMJTL,Female,1,No,No,8.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,19.65,164.3,Yes,The Debit Card PIN reset process is very confusing.,,
91,5940-AHUHD,Male,0,No,No,1.0,Yes,No,top up loan,No,No,No,No,No,No,Month-to-month,No,70.6,70.6,Yes,I had a hard time disputing a charge on my Credit Card.,,
92,6168-YBYNP,Male,0,No,No,59.0,Yes,Yes,top up loan,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,111.35,6519.75,No,The loan interest rates are very competitive.,,
93,3671-SHRSP,Male,0,Yes,No,4.0,Yes,No,top up loan,No,No,Yes,Yes,No,No,Month-to-month,Yes,80.6,319.15,Yes,The mobile banking app does not have enough features.,,
94,7576-ASEJU,Female,0,Yes,Yes,41.0,Yes,No,general loan,Yes,No,No,Yes,Yes,Yes,One year,Yes,74.7,3187.65,No,The Savings Account minimum balance requirement is very low.,,
95,3316-UWXUY,Male,0,No,No,50.0,Yes,No,top up loan,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,93.5,4747.5,No,The Current Account statement is very easy to access.,,
96,7945-HLKEA,Female,0,No,No,60.0,Yes,Yes,general loan,Yes,No,Yes,Yes,No,No,One year,No,64.75,4039.5,No,,,
97,5898-IGSLP,Male,0,Yes,Yes,31.0,Yes,Yes,top up loan,Yes,No,Yes,Yes,No,No,Month-to-month,No,89.3,2823,No,The bank's helpline is always busy.,,
98,5170-PTRKA,Female,0,Yes,Yes,49.0,No,No,general loan,Yes,No,No,Yes,No,No,One year,Yes,35.8,1782,No,My Savings Account was closed without proper notification.,,
99,9323-HGFWY,Female,0,Yes,No,27.0,Yes,No,top up loan,Yes,No,No,Yes,Yes,Yes,One year,Yes,101.9,2681.15,No,The Current Account opening process was very easy.,,
100,6583-SZVGP,Male,0,No,No,48.0,Yes,Yes,top up loan,No,Yes,Yes,No,Yes,Yes,Two year,Yes,108.1,5067.45,No,The Credit Card travel benefits are very good.,,
101,8181-YHCMF,Female,0,Yes,Yes,68.0,No,No,general loan,No,Yes,Yes,Yes,Yes,Yes,Two year,No,60.3,4109,No,The Current Account statement is very easy to access.,,
102,3282-ZISZV,Male,0,No,Yes,32.0,Yes,Yes,general loan,No,Yes,Yes,Yes,Yes,Yes,One year,No,83.7,2633.3,No,The Credit Card rewards program is excellent.,,
103,5149-CUZUJ,Male,0,Yes,Yes,28.0,Yes,No,top up loan,No,Yes,Yes,Yes,Yes,No,One year,No,92.9,2768.35,No,My Debit Card is not reading the chip.,,
104,9803-FTJCG,Male,0,Yes,Yes,71.0,Yes,Yes,general loan,Yes,Yes,No,Yes,No,No,One year,Yes,66.85,4748.7,No,The cashback offers on Credit Cards are very attractive.,,
105,9734-YWGEX,Female,0,No,No,9.0,Yes,Yes,top up loan,No,No,Yes,No,Yes,Yes,Month-to-month,No,98.3,923.5,Yes,The loan documentation process is very complicated.,,
106,8167-GJLRN,Male,0,No,No,3.0,No,No,general loan,No,No,No,Yes,No,No,Month-to-month,No,30.4,82.15,No,The online banking customer support is very helpful.,,
107,9505-SQFSW,Female,0,Yes,Yes,3.0,No,No,general loan,No,Yes,No,No,No,Yes,Month-to-month,No,40.3,92.5,No,The mobile app is very slow and crashes often.,,
108,2382-BCKQJ,Female,0,No,Yes,62.0,Yes,Yes,top up loan,No,No,Yes,No,Yes,Yes,One year,Yes,100.15,6413.65,Yes,The Debit Card activation process is very slow.,,
109,6323-AYBRX,Male,0,No,No,59.0,Yes,No,No,No,No,No,No,No,No,Two year,No,19.35,1099.6,Yes,The process of updating my contact information was very slow.,,
110,6556-DBKZF,Female,0,Yes,Yes,71.0,Yes,No,top up loan,No,No,Yes,No,No,No,Two year,No,76.05,5436.45,No,The Current Account management is very convenient.,,
